Timestamp,Frequency,SNR,Peak,Floor
2024-10-08 11:36:20.645,103500000,28.93,-30.57,-59.5
2024-10-08 11:36:20.754,103500000,29.03,-30.61,-59.64
2024-10-08 11:36:20.866,103500000,29.08,-30.68,-59.75
2024-10-08 11:36:20.976,103500000,28.94,-30.76,-59.69
2024-10-08 11:36:21.085,103500000,28.64,-30.92,-59.55
2024-10-08 11:36:21.195,103500000,28.43,-31.05,-59.48
2024-10-08 11:36:21.305,103500000,28.16,-31.21,-59.37
2024-10-08 11:36:21.416,103500000,28.03,-31.31,-59.34
2024-10-08 11:36:21.522,103500000,27.94,-31.4,-59.33
2024-10-08 11:36:21.632,103500000,27.89,-31.46,-59.35
2024-10-08 11:36:21.745,103500000,27.81,-31.53,-59.34
2024-10-08 11:36:21.855,103500000,27.83,-31.58,-59.41
2024-10-08 11:36:21.963,103500000,27.86,-31.6,-59.46
2024-10-08 11:36:22.074,103500000,27.87,-31.65,-59.52
2024-10-08 11:36:22.184,103500000,27.71,-31.76,-59.47
2024-10-08 11:36:22.295,103500000,27.56,-31.87,-59.44
2024-10-08 11:36:22.404,103500000,27.45,-31.95,-59.41
2024-10-08 11:36:22.515,103500000,27.32,-32.06,-59.37
2024-10-08 11:36:22.626,103500000,27.28,-32.1,-59.38
2024-10-08 11:36:22.735,103500000,27.29,-32.13,-59.42
2024-10-08 11:36:22.843,103500000,27.21,-32.19,-59.4
2024-10-08 11:36:22.953,103500000,27.09,-32.27,-59.36
2024-10-08 11:36:23.064,103500000,27,-32.35,-59.35
2024-10-08 11:36:23.174,103500000,26.97,-32.4,-59.36
2024-10-08 11:36:23.284,103500000,26.96,-32.42,-59.38
2024-10-08 11:36:23.380,103500000,26.97,-32.43,-59.41
2024-10-08 11:36:23.489,103500000,26.93,-32.48,-59.41
2024-10-08 11:36:23.613,103500000,26.86,-32.52,-59.38
2024-10-08 11:36:23.723,103500000,26.77,-32.57,-59.34
2024-10-08 11:36:23.833,103500000,26.67,-32.63,-59.29
2024-10-08 11:36:23.943,103500000,26.65,-32.66,-59.31
2024-10-08 11:36:24.053,103500000,26.69,-32.66,-59.35
2024-10-08 11:36:24.162,103500000,27.43,-32.04,-59.47
2024-10-08 11:36:24.275,103500000,27.99,-31.64,-59.63
2024-10-08 11:36:24.387,103500000,28.21,-31.52,-59.73
2024-10-08 11:36:24.496,103500000,28,-31.61,-59.61
2024-10-08 11:36:24.606,103500000,27.76,-31.72,-59.48
2024-10-08 11:36:24.715,103500000,27.57,-31.84,-59.41
2024-10-08 11:36:24.824,103500000,27.49,-31.9,-59.39
2024-10-08 11:36:24.933,103500000,27.44,-31.95,-59.39
2024-10-08 11:36:25.042,103500000,27.29,-32.04,-59.33
2024-10-08 11:36:25.151,103500000,27.18,-32.1,-59.29
2024-10-08 11:36:25.260,103500000,27.11,-32.19,-59.29
2024-10-08 11:36:25.369,103500000,27.07,-32.22,-59.29
2024-10-08 11:36:25.480,103500000,26.98,-32.28,-59.26
2024-10-08 11:36:25.590,103500000,26.87,-32.36,-59.23
2024-10-08 11:36:25.698,103500000,26.82,-32.4,-59.22
2024-10-08 11:36:25.808,103500000,26.71,-32.45,-59.17
2024-10-08 11:36:25.918,103500000,26.57,-32.52,-59.1
2024-10-08 11:36:26.027,103500000,26.5,-32.61,-59.11
2024-10-08 11:36:26.136,103500000,26.44,-32.68,-59.12
2024-10-08 11:36:26.248,103500000,26.35,-32.74,-59.09
2024-10-08 11:36:26.357,103500000,26.32,-32.8,-59.12
2024-10-08 11:36:26.467,103500000,26.69,-32.5,-59.19
2024-10-08 11:36:26.576,103500000,26.77,-32.51,-59.28
2024-10-08 11:36:26.685,103500000,26.71,-32.55,-59.27
2024-10-08 11:36:26.796,103500000,26.67,-32.59,-59.26
2024-10-08 11:36:26.906,103500000,26.57,-32.65,-59.22
2024-10-08 11:36:27.004,103500000,26.48,-32.69,-59.17
2024-10-08 11:36:27.125,103500000,26.67,-32.51,-59.18
2024-10-08 11:36:27.235,103500000,26.76,-32.47,-59.23
2024-10-08 11:36:27.346,103500000,26.77,-32.51,-59.29
2024-10-08 11:36:27.456,103500000,26.74,-32.57,-59.31
2024-10-08 11:36:27.565,103500000,26.62,-32.63,-59.25
2024-10-08 11:36:27.661,103500000,26.55,-32.67,-59.22
2024-10-08 11:36:27.770,103500000,26.47,-32.72,-59.2
2024-10-08 11:36:27.894,103500000,26.31,-32.78,-59.09
2024-10-08 11:36:28.003,103500000,26.26,-32.81,-59.07
2024-10-08 11:36:28.112,103500000,26.23,-32.85,-59.08
2024-10-08 11:36:28.222,103500000,26.22,-32.89,-59.11
2024-10-08 11:36:28.330,103500000,26.25,-32.93,-59.18
2024-10-08 11:36:28.440,103500000,26.36,-32.89,-59.25
2024-10-08 11:36:28.536,103500000,26.28,-32.94,-59.22
2024-10-08 11:36:28.658,103500000,26.16,-33.01,-59.16
2024-10-08 11:36:28.767,103500000,26.05,-33.07,-59.13
2024-10-08 11:36:28.878,103500000,26.04,-33.12,-59.16
2024-10-08 11:36:28.973,103500000,26.12,-33.13,-59.25
2024-10-08 11:36:29.083,103500000,26.65,-32.81,-59.45
2024-10-08 11:36:29.192,103500000,27.04,-32.64,-59.68
2024-10-08 11:36:29.304,103500000,27.07,-32.64,-59.71
2024-10-08 11:36:29.415,103500000,27.03,-32.67,-59.7
2024-10-08 11:36:29.526,103500000,26.92,-32.74,-59.66
2024-10-08 11:36:29.635,103500000,26.86,-32.77,-59.64
2024-10-08 11:36:29.744,103500000,26.77,-32.83,-59.6
2024-10-08 11:36:29.854,103500000,26.58,-32.9,-59.48
2024-10-08 11:36:29.963,103500000,26.45,-32.92,-59.37
2024-10-08 11:36:30.072,103500000,26.33,-32.96,-59.29
2024-10-08 11:36:30.182,103500000,26.32,-32.98,-59.3
2024-10-08 11:36:30.290,103500000,26.58,-32.72,-59.3
2024-10-08 11:36:30.403,103500000,27.48,-31.92,-59.4
2024-10-08 11:36:30.513,103500000,27.51,-31.95,-59.46
2024-10-08 11:36:30.623,103500000,27.45,-32.01,-59.46
2024-10-08 11:36:30.733,103500000,27.41,-32.06,-59.47
2024-10-08 11:36:30.843,103500000,27.43,-32.1,-59.53
2024-10-08 11:36:30.953,103500000,27.33,-32.15,-59.48
2024-10-08 11:36:31.052,103500000,27.2,-32.22,-59.41
2024-10-08 11:36:31.175,103500000,27.02,-32.29,-59.32
2024-10-08 11:36:31.285,103500000,26.87,-32.37,-59.24
2024-10-08 11:36:31.379,103500000,26.82,-32.43,-59.26
2024-10-08 11:36:31.491,103500000,26.75,-32.52,-59.26
2024-10-08 11:36:31.601,103500000,26.74,-32.55,-59.29
2024-10-08 11:36:31.709,103500000,27.64,-31.76,-59.41
2024-10-08 11:36:31.819,103500000,28.78,-30.82,-59.6
2024-10-08 11:36:31.928,103500000,28.97,-30.77,-59.74
2024-10-08 11:36:32.038,103500000,28.76,-30.87,-59.63
2024-10-08 11:36:32.147,103500000,28.57,-30.99,-59.56
2024-10-08 11:36:32.258,103500000,28.31,-31.15,-59.45
2024-10-08 11:36:32.367,103500000,28.07,-31.25,-59.32
2024-10-08 11:36:32.476,103500000,27.85,-31.37,-59.22
2024-10-08 11:36:32.584,103500000,27.79,-31.46,-59.25
2024-10-08 11:36:32.695,103500000,27.7,-31.56,-59.26
2024-10-08 11:36:32.804,103500000,27.51,-31.67,-59.18
2024-10-08 11:36:32.911,103500000,27.42,-31.75,-59.17
2024-10-08 11:36:33.021,103500000,27.43,-31.78,-59.2
2024-10-08 11:36:33.130,103500000,27.13,-31.85,-58.98
2024-10-08 11:36:33.241,103500000,26.78,-31.93,-58.71
2024-10-08 11:36:33.352,103500000,26.55,-31.97,-58.52
2024-10-08 11:36:33.461,103500000,26.32,-32.02,-58.34
2024-10-08 11:36:33.572,103500000,26.26,-32.05,-58.31
2024-10-08 11:36:33.681,103500000,27.1,-31.29,-58.39
2024-10-08 11:36:33.791,103500000,27.39,-31.22,-58.61
2024-10-08 11:36:33.901,103500000,27.49,-31.25,-58.74
2024-10-08 11:36:34.011,103500000,27.57,-31.29,-58.86
