Timestamp,Frequency,SNR,Peak,Floor
2024-10-16 14:42:15.526,140002182,37.74,-37.41,-75.15
2024-10-16 14:42:15.642,140002182,37.68,-37.55,-75.23
2024-10-16 14:42:15.753,140002182,37.63,-37.69,-75.32
2024-10-16 14:42:15.864,140002182,37.54,-37.78,-75.32
2024-10-16 14:42:15.971,140002182,37.43,-37.87,-75.3
2024-10-16 14:42:16.082,140002182,37.31,-37.96,-75.27
2024-10-16 14:42:16.192,140002182,37.12,-38.07,-75.19
2024-10-16 14:42:16.303,140002182,36.93,-38.16,-75.09
2024-10-16 14:42:16.398,140002182,36.76,-38.23,-74.99
2024-10-16 14:42:16.507,140002182,36.59,-38.29,-74.89
2024-10-16 14:42:16.619,140002182,37.31,-37.49,-74.8
2024-10-16 14:42:16.728,140002182,38.29,-36.46,-74.75
2024-10-16 14:42:16.836,140002182,38.21,-36.49,-74.7
2024-10-16 14:42:16.944,140002182,38.11,-36.53,-74.64
2024-10-16 14:42:17.068,140002182,37.95,-36.67,-74.62
2024-10-16 14:42:17.177,140002182,37.76,-36.82,-74.58
2024-10-16 14:42:17.286,140002182,37.62,-36.96,-74.58
2024-10-16 14:42:17.395,140002182,37.51,-37.1,-74.61
2024-10-16 14:42:17.504,140002182,37.44,-37.23,-74.67
2024-10-16 14:42:17.613,140002182,37.4,-37.35,-74.74
2024-10-16 14:42:17.721,140002182,37.42,-37.44,-74.85
2024-10-16 14:42:17.831,140002182,37.35,-37.56,-74.9
2024-10-16 14:42:17.940,140002182,37.22,-37.69,-74.91
2024-10-16 14:42:18.050,140002182,37.28,-37.69,-74.97
2024-10-16 14:42:18.160,140002182,37.3,-37.73,-75.02
2024-10-16 14:42:18.268,140002182,37.53,-37.52,-75.05
2024-10-16 14:42:18.376,140002182,37.93,-37.12,-75.05
2024-10-16 14:42:18.485,140002182,37.99,-36.96,-74.95
2024-10-16 14:42:18.594,140002182,37.92,-36.92,-74.85
2024-10-16 14:42:18.704,140002182,37.8,-36.96,-74.76
2024-10-16 14:42:18.811,140002182,37.69,-37.01,-74.7
2024-10-16 14:42:18.919,140002182,37.51,-37.11,-74.62
2024-10-16 14:42:19.029,140002182,37.3,-37.23,-74.53
2024-10-16 14:42:19.138,140002182,37.1,-37.32,-74.42
2024-10-16 14:42:19.248,140002182,36.9,-37.42,-74.33
2024-10-16 14:42:19.357,140002182,36.73,-37.56,-74.29
2024-10-16 14:42:19.466,140002182,36.57,-37.72,-74.3
2024-10-16 14:42:19.575,140002182,36.48,-37.83,-74.31
2024-10-16 14:42:19.684,140002182,36.35,-37.96,-74.31
2024-10-16 14:42:19.792,140002182,36.22,-38.12,-74.34
2024-10-16 14:42:19.901,140002182,36.24,-38.18,-74.42
2024-10-16 14:42:20.010,140002182,36.28,-38.24,-74.52
2024-10-16 14:42:20.119,140002182,36.31,-38.33,-74.64
2024-10-16 14:42:20.229,140002182,36.29,-38.39,-74.69
2024-10-16 14:42:20.339,140002182,36.33,-38.41,-74.75
2024-10-16 14:42:20.448,140002182,36.25,-38.48,-74.73
2024-10-16 14:42:20.559,140002182,36.07,-38.57,-74.65
2024-10-16 14:42:20.669,140002182,35.91,-38.64,-74.55
2024-10-16 14:42:20.777,140002182,35.83,-38.68,-74.51
2024-10-16 14:42:20.889,140002182,35.79,-38.7,-74.5
2024-10-16 14:42:21.000,140002182,35.77,-38.72,-74.49
2024-10-16 14:42:21.110,140002182,35.62,-38.79,-74.41
2024-10-16 14:42:21.218,140002182,35.42,-38.89,-74.31
2024-10-16 14:42:21.326,140002182,35.26,-38.97,-74.23
2024-10-16 14:42:21.434,140002182,35.18,-39.03,-74.21
2024-10-16 14:42:21.544,140002182,35.77,-38.51,-74.27
2024-10-16 14:42:21.653,140002182,35.83,-38.53,-74.36
2024-10-16 14:42:21.762,140002182,36.95,-37.53,-74.48
2024-10-16 14:42:21.868,140002182,37.23,-37.38,-74.61
2024-10-16 14:42:21.979,140002182,37.99,-36.68,-74.67
2024-10-16 14:42:22.089,140002182,37.94,-36.76,-74.7
