Timestamp,Frequency,SNR,Peak,Floor
2024-10-15 11:26:35.581,140000000,26.84,-30.56,-57.4
2024-10-15 11:26:35.691,140000000,26.89,-30.56,-57.45
2024-10-15 11:26:35.801,140000000,26.87,-30.59,-57.46
2024-10-15 11:26:35.913,140000000,26.83,-30.64,-57.47
2024-10-15 11:26:36.024,140000000,26.77,-30.69,-57.46
2024-10-15 11:26:36.133,140000000,26.66,-30.74,-57.4
2024-10-15 11:26:36.242,140000000,26.6,-30.76,-57.36
2024-10-15 11:26:36.351,140000000,26.59,-30.78,-57.37
2024-10-15 11:26:36.460,140000000,26.54,-30.8,-57.34
2024-10-15 11:26:36.569,140000000,26.45,-30.85,-57.3
2024-10-15 11:26:36.679,140000000,26.37,-30.91,-57.28
2024-10-15 11:26:36.802,140000000,26.26,-30.98,-57.23
2024-10-15 11:26:36.910,140000000,26.74,-30.5,-57.24
2024-10-15 11:26:37.019,140000000,26.73,-30.45,-57.18
2024-10-15 11:26:37.130,140000000,26.6,-30.5,-57.1
2024-10-15 11:26:37.238,140000000,26.53,-30.53,-57.06
2024-10-15 11:26:37.349,140000000,26.45,-30.58,-57.02
2024-10-15 11:26:37.459,140000000,26.44,-30.57,-57.01
2024-10-15 11:26:37.568,140000000,26.43,-30.57,-57.01
2024-10-15 11:26:37.664,140000000,26.37,-30.62,-56.99
2024-10-15 11:26:37.772,140000000,26.25,-30.71,-56.96
2024-10-15 11:26:37.882,140000000,26.17,-30.77,-56.93
2024-10-15 11:26:37.991,140000000,26.1,-30.82,-56.92
2024-10-15 11:26:38.100,140000000,26,-30.88,-56.88
2024-10-15 11:26:38.210,140000000,25.91,-30.96,-56.87
2024-10-15 11:26:38.320,140000000,25.85,-31.01,-56.86
2024-10-15 11:26:38.430,140000000,25.95,-30.9,-56.85
2024-10-15 11:26:38.539,140000000,26.42,-30.46,-56.88
2024-10-15 11:26:38.648,140000000,26.42,-30.48,-56.91
2024-10-15 11:26:38.757,140000000,26.46,-30.5,-56.96
2024-10-15 11:26:38.880,140000000,26.77,-30.24,-57.02
2024-10-15 11:26:38.989,140000000,26.77,-30.28,-57.05
2024-10-15 11:26:39.098,140000000,26.75,-30.32,-57.06
2024-10-15 11:26:39.208,140000000,26.62,-30.36,-56.98
2024-10-15 11:26:39.318,140000000,26.48,-30.44,-56.92
2024-10-15 11:26:39.414,140000000,26.41,-30.49,-56.9
2024-10-15 11:26:39.534,140000000,26.35,-30.52,-56.86
2024-10-15 11:26:39.644,140000000,26.22,-30.57,-56.79
2024-10-15 11:26:39.754,140000000,26.03,-30.65,-56.68
2024-10-15 11:26:39.850,140000000,25.92,-30.73,-56.65
2024-10-15 11:26:39.974,140000000,25.82,-30.82,-56.65
2024-10-15 11:26:40.084,140000000,26.12,-30.63,-56.74
2024-10-15 11:26:40.179,140000000,26.25,-30.56,-56.82
2024-10-15 11:26:40.288,140000000,26.27,-30.6,-56.87
2024-10-15 11:26:40.399,140000000,26.28,-30.63,-56.91
2024-10-15 11:26:40.508,140000000,26.65,-30.33,-56.98
2024-10-15 11:26:40.619,140000000,26.67,-30.36,-57.03
2024-10-15 11:26:40.730,140000000,26.79,-30.24,-57.02
2024-10-15 11:26:40.838,140000000,27.31,-29.7,-57.01
2024-10-15 11:26:40.948,140000000,27.21,-29.77,-56.97
2024-10-15 11:26:41.058,140000000,27.04,-29.87,-56.9
2024-10-15 11:26:41.166,140000000,26.9,-29.94,-56.84
2024-10-15 11:26:41.276,140000000,26.77,-29.97,-56.74
2024-10-15 11:26:41.386,140000000,26.64,-29.99,-56.63
2024-10-15 11:26:41.495,140000000,26.49,-30.05,-56.54
2024-10-15 11:26:41.604,140000000,26.29,-30.17,-56.45
2024-10-15 11:26:41.713,140000000,26.21,-30.22,-56.43
2024-10-15 11:26:41.824,140000000,26.18,-30.27,-56.45
2024-10-15 11:26:41.933,140000000,26.15,-30.33,-56.49
2024-10-15 11:26:42.044,140000000,26.13,-30.41,-56.54
2024-10-15 11:26:42.152,140000000,26.04,-30.52,-56.56
2024-10-15 11:26:42.260,140000000,25.97,-30.62,-56.59
2024-10-15 11:26:42.368,140000000,25.98,-30.69,-56.67
2024-10-15 11:26:42.479,140000000,25.96,-30.8,-56.76
2024-10-15 11:26:42.589,140000000,25.95,-30.87,-56.82
2024-10-15 11:26:42.696,140000000,25.99,-30.89,-56.88
