Timestamp,Frequency,SNR,Peak,Floor
2024-04-05 11:37:47.860,103500000,11.33,-33.1,-44.43
2024-04-05 11:37:47.979,103500000,11.35,-33.12,-44.46
2024-04-05 11:37:48.087,103500000,11.54,-32.92,-44.47
2024-04-05 11:37:48.195,103500000,11.51,-32.89,-44.4
2024-04-05 11:37:48.302,103500000,11.51,-32.9,-44.41
2024-04-05 11:37:48.409,103500000,11.68,-32.77,-44.45
2024-04-05 11:37:48.517,103500000,11.78,-32.7,-44.48
2024-04-05 11:37:48.629,103500000,11.86,-32.74,-44.6
2024-04-05 11:37:48.736,103500000,11.87,-32.79,-44.66
2024-04-05 11:37:48.843,103500000,11.86,-32.85,-44.71
2024-04-05 11:37:48.966,103500000,11.8,-32.88,-44.68
2024-04-05 11:37:49.073,103500000,11.75,-32.89,-44.64
2024-04-05 11:37:49.172,103500000,11.67,-32.93,-44.6
2024-04-05 11:37:49.280,103500000,11.57,-32.98,-44.54
2024-04-05 11:37:49.395,103500000,11.46,-33.01,-44.47
2024-04-05 11:37:49.503,103500000,11.41,-33.05,-44.46
2024-04-05 11:37:49.611,103500000,11.39,-33.06,-44.45
2024-04-05 11:37:49.720,103500000,11.41,-33.1,-44.51
2024-04-05 11:37:49.828,103500000,11.35,-33.13,-44.48
2024-04-05 11:37:49.936,103500000,11.28,-33.17,-44.44
2024-04-05 11:37:50.060,103500000,11.21,-33.22,-44.43
2024-04-05 11:37:50.159,103500000,11.25,-33.24,-44.49
2024-04-05 11:37:50.275,103500000,11.25,-33.27,-44.52
2024-04-05 11:37:50.380,103500000,11.25,-33.29,-44.54
2024-04-05 11:37:50.485,103500000,11.3,-33.3,-44.6
2024-04-05 11:37:50.594,103500000,11.41,-33.25,-44.66
2024-04-05 11:37:50.702,103500000,11.42,-33.27,-44.69
2024-04-05 11:37:50.820,103500000,11.48,-33.25,-44.73
2024-04-05 11:37:50.930,103500000,11.35,-33.27,-44.62
2024-04-05 11:37:51.033,103500000,11.23,-33.3,-44.53
2024-04-05 11:37:51.150,103500000,11.2,-33.31,-44.51
2024-04-05 11:37:51.260,103500000,11.17,-33.33,-44.51
2024-04-05 11:37:51.370,103500000,11.24,-33.28,-44.52
2024-04-05 11:37:51.478,103500000,11.25,-33.3,-44.55
2024-04-05 11:37:51.590,103500000,11.22,-33.29,-44.51
2024-04-05 11:37:51.700,103500000,11.2,-33.31,-44.51
2024-04-05 11:37:51.808,103500000,11.47,-33.12,-44.59
2024-04-05 11:37:51.917,103500000,11.5,-33.11,-44.62
2024-04-05 11:37:52.028,103500000,11.37,-33.16,-44.53
2024-04-05 11:37:52.135,103500000,11.21,-33.22,-44.42
2024-04-05 11:37:52.241,103500000,11.09,-33.25,-44.34
2024-04-05 11:37:52.350,103500000,11.08,-33.28,-44.36
2024-04-05 11:37:52.459,103500000,11.26,-33.19,-44.44
2024-04-05 11:37:52.570,103500000,11.38,-33.15,-44.53
2024-04-05 11:37:52.677,103500000,11.45,-33.17,-44.62
2024-04-05 11:37:52.784,103500000,11.55,-33.11,-44.66
2024-04-05 11:37:52.890,103500000,11.51,-33.13,-44.64
2024-04-05 11:37:53.013,103500000,11.43,-33.15,-44.59
2024-04-05 11:37:53.122,103500000,11.51,-33.09,-44.6
2024-04-05 11:37:53.227,103500000,11.51,-33.1,-44.61
2024-04-05 11:37:53.335,103500000,11.44,-33.13,-44.57
2024-04-05 11:37:53.441,103500000,11.39,-33.16,-44.55
2024-04-05 11:37:53.547,103500000,11.4,-33.18,-44.58
2024-04-05 11:37:53.657,103500000,11.49,-33.2,-44.69
2024-04-05 11:37:53.765,103500000,11.54,-33.22,-44.76
2024-04-05 11:37:53.875,103500000,11.62,-33.18,-44.8
2024-04-05 11:37:53.986,103500000,11.7,-33.08,-44.77
2024-04-05 11:37:54.095,103500000,11.59,-33.08,-44.67
2024-04-05 11:37:54.215,103500000,11.44,-33.09,-44.54
2024-04-05 11:37:54.322,103500000,11.33,-33.11,-44.44
2024-04-05 11:37:54.432,103500000,11.25,-33.15,-44.4
2024-04-05 11:37:54.543,103500000,11.17,-33.2,-44.37
2024-04-05 11:37:54.649,103500000,11.21,-33.19,-44.4
2024-04-05 11:37:54.754,103500000,11.35,-33.08,-44.43
2024-04-05 11:37:54.866,103500000,11.38,-33.1,-44.48
2024-04-05 11:37:54.975,103500000,11.36,-33.14,-44.5
2024-04-05 11:37:55.084,103500000,11.33,-33.18,-44.51
2024-04-05 11:37:55.190,103500000,11.28,-33.18,-44.46
2024-04-05 11:37:55.302,103500000,11.18,-33.2,-44.38
2024-04-05 11:37:55.407,103500000,11.26,-33.1,-44.35
2024-04-05 11:37:55.515,103500000,11.22,-33.11,-44.32
2024-04-05 11:37:55.627,103500000,11.24,-33.08,-44.33
2024-04-05 11:37:55.736,103500000,11.3,-33.1,-44.4
2024-04-05 11:37:55.858,103500000,11.28,-33.12,-44.4
2024-04-05 11:37:55.953,103500000,11.24,-33.13,-44.37
2024-04-05 11:37:56.063,103500000,11.13,-33.14,-44.28
2024-04-05 11:37:56.171,103500000,11.09,-33.16,-44.25
2024-04-05 11:37:56.292,103500000,11.05,-33.18,-44.23
2024-04-05 11:37:56.400,103500000,11.17,-33.04,-44.22
2024-04-05 11:37:56.507,103500000,11.27,-32.94,-44.22
2024-04-05 11:37:56.615,103500000,11.21,-32.98,-44.19
2024-04-05 11:37:56.726,103500000,11.15,-33,-44.15
2024-04-05 11:37:56.836,103500000,11.11,-33.03,-44.15
2024-04-05 11:37:56.945,103500000,11.12,-33.03,-44.16
2024-04-05 11:37:57.053,103500000,11.26,-33.03,-44.29
2024-04-05 11:37:57.161,103500000,11.32,-33.04,-44.36
2024-04-05 11:37:57.273,103500000,11.31,-33.06,-44.38
2024-04-05 11:37:57.383,103500000,11.42,-32.98,-44.4
2024-04-05 11:37:57.492,103500000,11.36,-33.03,-44.39
2024-04-05 11:37:57.603,103500000,11.31,-33.08,-44.38
2024-04-05 11:37:57.713,103500000,11.26,-33.12,-44.37
2024-04-05 11:37:57.820,103500000,11.26,-33.14,-44.4
2024-04-05 11:37:57.927,103500000,11.25,-33.14,-44.39
2024-04-05 11:37:58.035,103500000,11.2,-33.16,-44.35
2024-04-05 11:37:58.145,103500000,11.16,-33.17,-44.33
2024-04-05 11:37:58.254,103500000,11.14,-33.19,-44.33
2024-04-05 11:37:58.364,103500000,11.14,-33.21,-44.35
2024-04-05 11:37:58.473,103500000,11.17,-33.23,-44.41
2024-04-05 11:37:58.582,103500000,11.22,-33.26,-44.48
2024-04-05 11:37:58.689,103500000,11.24,-33.31,-44.55
2024-04-05 11:37:58.797,103500000,11.34,-33.3,-44.64
2024-04-05 11:37:58.906,103500000,11.42,-33.31,-44.73
2024-04-05 11:37:59.015,103500000,11.46,-33.33,-44.79
2024-04-05 11:37:59.124,103500000,11.51,-33.32,-44.83
2024-04-05 11:37:59.244,103500000,11.63,-33.18,-44.81
2024-04-05 11:37:59.356,103500000,11.58,-33.21,-44.79
2024-04-05 11:37:59.465,103500000,11.83,-32.99,-44.82
2024-04-05 11:37:59.574,103500000,11.79,-33.01,-44.8
2024-04-05 11:37:59.686,103500000,11.74,-33.03,-44.77
2024-04-05 11:37:59.798,103500000,11.89,-32.94,-44.83
2024-04-05 11:37:59.907,103500000,11.84,-32.95,-44.79
2024-04-05 11:38:00.028,103500000,11.74,-32.98,-44.72
