Timestamp,Frequency,SNR,Peak,Floor
2024-04-05 11:34:30.416,103500000,5.49,-39.97,-45.47
2024-04-05 11:34:30.528,103500000,5.93,-39.54,-45.47
2024-04-05 11:34:30.635,103500000,5.89,-39.58,-45.48
2024-04-05 11:34:30.741,103500000,5.85,-39.63,-45.48
2024-04-05 11:34:30.853,103500000,5.82,-39.68,-45.5
2024-04-05 11:34:30.964,103500000,5.75,-39.74,-45.49
2024-04-05 11:34:31.073,103500000,5.67,-39.77,-45.44
2024-04-05 11:34:31.180,103500000,5.62,-39.82,-45.44
2024-04-05 11:34:31.286,103500000,5.56,-39.89,-45.44
2024-04-05 11:34:31.395,103500000,5.49,-39.96,-45.45
2024-04-05 11:34:31.507,103500000,5.45,-39.99,-45.44
2024-04-05 11:34:31.616,103500000,5.47,-39.92,-45.39
2024-04-05 11:34:31.728,103500000,5.58,-39.83,-45.41
2024-04-05 11:34:31.836,103500000,5.55,-39.87,-45.42
2024-04-05 11:34:31.946,103500000,5.49,-39.96,-45.45
2024-04-05 11:34:32.054,103500000,5.51,-39.97,-45.48
2024-04-05 11:34:32.165,103500000,5.9,-39.57,-45.47
2024-04-05 11:34:32.271,103500000,5.87,-39.63,-45.5
2024-04-05 11:34:32.377,103500000,5.8,-39.66,-45.46
2024-04-05 11:34:32.486,103500000,5.75,-39.7,-45.45
2024-04-05 11:34:32.597,103500000,5.7,-39.72,-45.43
2024-04-05 11:34:32.708,103500000,5.68,-39.76,-45.45
2024-04-05 11:34:32.817,103500000,5.65,-39.82,-45.47
2024-04-05 11:34:32.928,103500000,5.62,-39.9,-45.53
2024-04-05 11:34:33.039,103500000,5.62,-39.9,-45.53
2024-04-05 11:34:33.147,103500000,5.61,-39.95,-45.56
2024-04-05 11:34:33.255,103500000,5.81,-39.71,-45.52
2024-04-05 11:34:33.366,103500000,5.87,-39.65,-45.53
2024-04-05 11:34:33.476,103500000,7.09,-38.45,-45.54
2024-04-05 11:34:33.587,103500000,7.03,-38.53,-45.56
2024-04-05 11:34:33.693,103500000,6.87,-38.67,-45.54
2024-04-05 11:34:33.800,103500000,6.73,-38.78,-45.51
2024-04-05 11:34:33.908,103500000,6.52,-38.9,-45.42
2024-04-05 11:34:34.018,103500000,6.43,-38.94,-45.37
2024-04-05 11:34:34.125,103500000,6.3,-39.01,-45.3
2024-04-05 11:34:34.246,103500000,6.15,-39.07,-45.23
2024-04-05 11:34:34.356,103500000,6.02,-39.19,-45.21
2024-04-05 11:34:34.463,103500000,5.92,-39.27,-45.19
2024-04-05 11:34:34.572,103500000,5.82,-39.37,-45.19
2024-04-05 11:34:34.679,103500000,5.73,-39.44,-45.17
2024-04-05 11:34:34.791,103500000,5.83,-39.41,-45.23
2024-04-05 11:34:34.900,103500000,5.81,-39.48,-45.3
2024-04-05 11:34:35.012,103500000,6.01,-39.34,-45.35
2024-04-05 11:34:35.124,103500000,5.95,-39.37,-45.32
2024-04-05 11:34:35.235,103500000,5.88,-39.44,-45.32
2024-04-05 11:34:35.345,103500000,5.84,-39.53,-45.37
2024-04-05 11:34:35.453,103500000,5.73,-39.61,-45.34
2024-04-05 11:34:35.561,103500000,5.63,-39.69,-45.32
2024-04-05 11:34:35.671,103500000,5.58,-39.73,-45.31
2024-04-05 11:34:35.795,103500000,5.54,-39.78,-45.32
2024-04-05 11:34:35.903,103500000,5.46,-39.83,-45.29
2024-04-05 11:34:36.012,103500000,5.36,-39.87,-45.23
2024-04-05 11:34:36.108,103500000,5.29,-39.91,-45.2
2024-04-05 11:34:36.218,103500000,5.22,-39.96,-45.17
2024-04-05 11:34:36.327,103500000,5.49,-39.69,-45.19
2024-04-05 11:34:36.436,103500000,5.5,-39.75,-45.25
2024-04-05 11:34:36.547,103500000,5.51,-39.79,-45.3
2024-04-05 11:34:36.657,103500000,5.54,-39.84,-45.37
2024-04-05 11:34:36.778,103500000,5.48,-39.88,-45.37
2024-04-05 11:34:36.886,103500000,5.43,-39.94,-45.36
2024-04-05 11:34:36.992,103500000,5.38,-39.98,-45.36
2024-04-05 11:34:37.101,103500000,5.43,-39.93,-45.36
2024-04-05 11:34:37.209,103500000,5.43,-39.97,-45.4
2024-04-05 11:34:37.317,103500000,5.41,-40.01,-45.42
2024-04-05 11:34:37.424,103500000,5.24,-40.07,-45.31
2024-04-05 11:34:37.534,103500000,5.21,-40.08,-45.29
2024-04-05 11:34:37.645,103500000,5.17,-40.14,-45.31
2024-04-05 11:34:37.756,103500000,5.05,-40.18,-45.23
2024-04-05 11:34:37.867,103500000,5.05,-40.16,-45.21
2024-04-05 11:34:37.977,103500000,5.04,-40.17,-45.21
2024-04-05 11:34:38.086,103500000,5.02,-40.23,-45.25
2024-04-05 11:34:38.194,103500000,5.04,-40.27,-45.31
2024-04-05 11:34:38.300,103500000,5.35,-40.04,-45.39
2024-04-05 11:34:38.407,103500000,5.39,-40.07,-45.46
2024-04-05 11:34:38.528,103500000,5.93,-39.49,-45.42
2024-04-05 11:34:38.637,103500000,5.87,-39.55,-45.42
2024-04-05 11:34:38.733,103500000,5.77,-39.66,-45.43
2024-04-05 11:34:38.845,103500000,5.74,-39.74,-45.47
2024-04-05 11:34:38.953,103500000,5.67,-39.83,-45.5
2024-04-05 11:34:39.073,103500000,5.65,-39.86,-45.5
2024-04-05 11:34:39.183,103500000,5.61,-39.9,-45.51
2024-04-05 11:34:39.291,103500000,5.56,-39.96,-45.52
2024-04-05 11:34:39.402,103500000,5.51,-40.02,-45.53
