Timestamp,Frequency,SNR,Peak,Floor
2023-08-15 12:59:16.274,103500000,23.74,-45.41,-69.15
2023-08-15 12:59:17.280,103500000,23.05,-47.55,-70.6
2023-08-15 12:59:18.277,103500000,23.85,-45.35,-69.21
2023-08-15 12:59:19.280,103500000,23.28,-45.47,-68.75
2023-08-15 12:59:20.274,103500000,23.57,-46.02,-69.6
2023-08-15 12:59:21.282,103500000,23.93,-45.11,-69.04
2023-08-15 12:59:22.275,103500000,25,-43.81,-68.8
2023-08-15 12:59:23.284,103500000,23.25,-45.06,-68.31
2023-08-15 12:59:24.275,103500000,23.93,-44.13,-68.06
2023-08-15 12:59:25.279,103500000,22.83,-45.96,-68.79
2023-08-15 12:59:26.283,103500000,22.43,-46.95,-69.38
2023-08-15 12:59:27.273,103500000,24.86,-44.13,-68.99
2023-08-15 12:59:28.277,103500000,24.96,-44.43,-69.39
2023-08-15 12:59:29.280,103500000,23.89,-46,-69.89
2023-08-15 12:59:30.282,103500000,25.55,-44.25,-69.8
2023-08-15 12:59:31.274,103500000,25.23,-44.97,-70.21
2023-08-15 12:59:32.275,103500000,21.26,-48.02,-69.28
2023-08-15 12:59:33.280,103500000,23.03,-46.18,-69.21
2023-08-15 12:59:34.274,103500000,21.88,-47.32,-69.2
2023-08-15 12:59:35.281,103500000,22.75,-46.48,-69.24
2023-08-15 12:59:36.270,103500000,21.33,-46.78,-68.11
