Timestamp,Frequency,SNR,Peak,Floor
2023-08-15 13:01:51.298,103500000,12.64,-51.09,-63.73
2023-08-15 13:01:52.294,103500000,14.09,-49.82,-63.92
2023-08-15 13:01:53.295,103500000,12.23,-50.89,-63.12
2023-08-15 13:01:54.298,103500000,13.94,-50.07,-64.01
2023-08-15 13:01:55.298,103500000,13.57,-50.42,-63.99
2023-08-15 13:01:56.286,103500000,12.23,-51.64,-63.87
2023-08-15 13:01:57.290,103500000,13.94,-50.36,-64.3
2023-08-15 13:01:58.297,103500000,14.55,-50.11,-64.66
2023-08-15 13:01:59.291,103500000,13.6,-50.57,-64.17
2023-08-15 13:02:00.296,103500000,11.58,-52.75,-64.33
2023-08-15 13:02:01.287,103500000,14.32,-49.81,-64.13
2023-08-15 13:02:02.293,103500000,12.12,-52.24,-64.36
2023-08-15 13:02:03.294,103500000,11.18,-52.99,-64.17
2023-08-15 13:02:04.287,103500000,11.05,-52.92,-63.97
2023-08-15 13:02:05.295,103500000,12.37,-51.91,-64.28
2023-08-15 13:02:06.290,103500000,13.53,-50.87,-64.41
2023-08-15 13:02:07.295,103500000,12.75,-51.47,-64.22
2023-08-15 13:02:08.301,103500000,13.87,-50.54,-64.41
2023-08-15 13:02:09.288,103500000,12.1,-52.06,-64.15
2023-08-15 13:02:10.296,103500000,12.62,-51.64,-64.26
2023-08-15 13:02:11.287,103500000,14.19,-50.15,-64.34
2023-08-15 13:02:12.290,103500000,12.77,-51.6,-64.37
